Keyword,Ad group,Volume,CPC (USD),Intent,Match sugerido,Fonte,Observacao
roupas de mergulho masculino,fora-da-campanha (observacao),590,0.00,"Informational, Commercial",Phrase,kw-manager,intencao mergulho: produto nao atende
traje de mergulho,fora-da-campanha (observacao),590,0.00,Informational,Phrase,kw-manager,intencao mergulho: produto nao atende
long john masculino,fora-da-campanha (observacao),480,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
loja de natação perto de mim,fora-da-campanha (observacao),390,0.00,Transactional,Phrase,kw-manager,intencao de loja fisica/generica
roupa de borracha para triathlon,fora-da-campanha (observacao),390,0.00,"Informational, Transactional",Phrase,kw-manager,aderencia baixa ao produto
acessorios natação,fora-da-campanha (observacao),320,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
acessorios para natação,fora-da-campanha (observacao),320,0.00,Commercial,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
john surf,fora-da-campanha (observacao),320,0.00,Commercial,Phrase,kw-manager,produto nao vendido (roupa fechada)
loja de natacao,fora-da-campanha (observacao),320,0.00,Commercial,Phrase,kw-manager,intencao de loja fisica/generica
macacao para natacao feminina,fora-da-campanha (observacao),320,0.00,"Informational, Commercial",Phrase,kw-manager,produto nao vendido (roupa fechada)
macacão de natação feminino,fora-da-campanha (observacao),320,0.00,Informational,Phrase,kw-manager,produto nao vendido (roupa fechada)
roupa de mergulho profissional,fora-da-campanha (observacao),320,0.00,Informational,Phrase,kw-manager,intencao mergulho: produto nao atende
roupa de nadador,fora-da-campanha (observacao),320,0.00,Informational,Phrase,kw-manager,aderencia baixa ao produto
equipamentos da natação,fora-da-campanha (observacao),260,0.00,Informational,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
equipamentos para natação,fora-da-campanha (observacao),260,0.00,Informational,Phrase,kw-manager,acessorios/equipamentos: fora do escopo
loja de natação,fora-da-campanha (observacao),260,0.00,Commercial,Phrase,kw-manager,intencao de loja fisica/generica
macacao natacao,fora-da-campanha (observacao),260,0.00,"Informational, Transactional",Phrase,kw-manager,produto nao vendido (roupa fechada)
maios esportivos,fora-da-campanha (observacao),260,0.00,"Informational, Commercial",Phrase,kw-manager,peca de natacao que nao vendemos
roupa para natação infantil,fora-da-campanha (observacao),260,0.00,Informational,Phrase,kw-manager,negativa confirmada: linha adulta
traje arena feminino,fora-da-campanha (observacao),260,0.00,Informational,Phrase,kw-manager,peca de natacao que nao vendemos
